Data,Turma,Motivo
20/4/2006,Logistica 3,falta de vale transporte
21/4/2006,Análise e desenvolvimento de sistemas 3,não se adaptou a metodologia
21/4/2006,Logistica 3,falta de vale transporte
22/4/2006,Jogos digitais 4,incompatibilidade de horário
22/4/2006,Segurança da informação 1,não se adaptou a metodologia
22/4/2006,Gestão comercial 2,falta de vale transporte
23/4/2006,Segurança da informação 3,incompatibilidade de horário
23/4/2006,Segurança da informação 3,não se adaptou a metodologia
23/4/2006,Gestão da Tecnologia da informação 4,falta de vale transporte
24/4/2006,Jogos digitais 2,incompatibilidade de horário
24/4/2006,Logistica 1,não se adaptou a metodologia
24/4/2006,Segurança da informação 1,falta de vale transporte
25/4/2006,Análise e desenvolvimento de sistemas 3,incompatibilidade de horário
25/4/2006,Gestão comercial 3,não se adaptou a metodologia
25/4/2006,Logistica 4,falta de vale transporte
26/4/2006,Gestão comercial 2,incompatibilidade de horário
26/4/2006,Gestão comercial 2,não se adaptou a metodologia
26/4/2006,Gestão comercial 1,falta de vale transporte
27/4/2006,Gestão da Tecnologia da informação 2,incompatibilidade de horário
27/4/2006,Gestão comercial 3,não se adaptou a metodologia
27/4/2006,Segurança da informação 3,falta de vale transporte
28/4/2006,Jogos digitais 2,incompatibilidade de horário
28/4/2006,Gestão comercial 2,não se adaptou a metodologia
28/4/2006,Análise e desenvolvimento de sistemas 1,falta de vale transporte
29/4/2006,Jogos digitais 5,incompatibilidade de horário
29/4/2006,Análise e desenvolvimento de sistemas 2,não se adaptou a metodologia
29/4/2006,Segurança da informação 3,falta de vale transporte
30/4/2006,Gestão comercial 2,incompatibilidade de horário
30/4/2006,Gestão da Tecnologia da informação 1,não se adaptou a metodologia
30/4/2006,Gestão da Tecnologia da informação 2,falta de vale transporte
1/5/2006,Gestão comercial 3,incompatibilidade de horário
1/5/2006,Jogos digitais 2,não se adaptou a metodologia
1/5/2006,Segurança da informação 2,falta de vale transporte
2/5/2006,Designer 1,incompatibilidade de horário
2/5/2006,Análise e desenvolvimento de sistemas 4,não se adaptou a metodologia
2/5/2006,Jogos digitais 2,falta de vale transporte
3/5/2006,Jogos digitais 4,incompatibilidade de horário
3/5/2006,Análise e desenvolvimento de sistemas 2,não se adaptou a metodologia
3/5/2006,Logistica 2,falta de vale transporte
4/5/2006,Logistica 1,incompatibilidade de horário
4/5/2006,Segurança da informação 3,não se adaptou a metodologia
4/5/2006,Análise e desenvolvimento de sistemas 1,falta de vale transporte
5/5/2006,Gestão comercial 3,incompatibilidade de horário
5/5/2006,Segurança da informação 2,não se adaptou a metodologia
5/5/2006,Análise e desenvolvimento de sistemas 4,falta de vale transporte
6/5/2006,Jogos digitais 3,incompatibilidade de horário
6/5/2006,Jogos digitais 5,não se adaptou a metodologia
6/5/2006,Designer 2,falta de vale transporte
7/5/2006,Gestão da Tecnologia da informação 1,incompatibilidade de horário
7/5/2006,Gestão da Tecnologia da informação 2,não se adaptou a metodologia
7/5/2006,Gestão comercial 1,falta de vale transporte
8/5/2006,Gestão comercial 2,incompatibilidade de horário
8/5/2006,Segurança da informação 2,não se adaptou a metodologia
8/5/2006,Jogos digitais 1,falta de vale transporte
9/5/2006,Análise e desenvolvimento de sistemas 4,incompatibilidade de horário
9/5/2006,Jogos digitais 2,não se adaptou a metodologia
9/5/2006,Jogos digitais 5,falta de vale transporte
10/5/2006,Gestão da Tecnologia da informação 4,incompatibilidade de horário
10/5/2006,Gestão comercial 4,não se adaptou a metodologia
10/5/2006,Jogos digitais 4,falta de vale transporte
11/5/2006,Segurança da informação 4,incompatibilidade de horário
11/5/2006,Gestão comercial 2,não se adaptou a metodologia
11/5/2006,Segurança da informação 3,falta de vale transporte
12/5/2006,Análise e desenvolvimento de sistemas 3,incompatibilidade de horário
12/5/2006,Jogos digitais 5,não se adaptou a metodologia
12/5/2006,Gestão comercial 2,falta de vale transporte
13/5/2006,Análise e desenvolvimento de sistemas 1,incompatibilidade de horário
13/5/2006,Gestão comercial 2,não se adaptou a metodologia
13/5/2006,Gestão da Tecnologia da informação 3,falta de vale transporte
14/5/2006,Jogos digitais 3,incompatibilidade de horário
14/5/2006,Segurança da informação 2,não se adaptou a metodologia
14/5/2006,Jogos digitais 2,falta de vale transporte
15/5/2006,Jogos digitais 2,incompatibilidade de horário
15/5/2006,Logistica 1,não se adaptou a metodologia
15/5/2006,Designer 1,falta de vale transporte
16/5/2006,Segurança da informação 4,incompatibilidade de horário
16/5/2006,Jogos digitais 5,não se adaptou a metodologia
16/5/2006,Jogos digitais 1,falta de vale transporte
17/5/2006,Segurança da informação 1,incompatibilidade de horário
17/5/2006,Jogos digitais 4,não se adaptou a metodologia
17/5/2006,Jogos digitais 2,falta de vale transporte
18/5/2006,Análise e desenvolvimento de sistemas 1,incompatibilidade de horário
18/5/2006,Gestão comercial 4,não se adaptou a metodologia
18/5/2006,Gestão comercial 2,falta de vale transporte
19/5/2006,Gestão da Tecnologia da informação 1,incompatibilidade de horário
19/5/2006,Designer 4,não se adaptou a metodologia
19/5/2006,Segurança da informação 3,falta de vale transporte
20/5/2006,Logistica 3,incompatibilidade de horário
20/5/2006,Logistica 3,não se adaptou a metodologia
20/5/2006,Jogos digitais 4,falta de vale transporte
21/5/2006,Segurança da informação 1,incompatibilidade de horário
21/5/2006,Jogos digitais 2,não se adaptou a metodologia
21/5/2006,Logistica 2,falta de vale transporte
22/5/2006,Designer 4,incompatibilidade de horário
22/5/2006,Análise e desenvolvimento de sistemas 4,não se adaptou a metodologia
22/5/2006,Jogos digitais 1,falta de vale transporte
23/5/2006,Jogos digitais 5,incompatibilidade de horário
23/5/2006,Análise e desenvolvimento de sistemas 1,não se adaptou a metodologia
23/5/2006,Logistica 2,falta de vale transporte
24/5/2006,Logistica 3,incompatibilidade de horário
24/5/2006,Logistica 3,não se adaptou a metodologia
24/5/2006,Gestão da Tecnologia da informação 2,falta de vale transporte
25/5/2006,Segurança da informação 2,incompatibilidade de horário
25/5/2006,Análise e desenvolvimento de sistemas 2,não se adaptou a metodologia
25/5/2006,Gestão da Tecnologia da informação 4,falta de vale transporte
26/5/2006,Gestão da Tecnologia da informação 1,incompatibilidade de horário
26/5/2006,Logistica 3,não se adaptou a metodologia
26/5/2006,Segurança da informação 4,falta de vale transporte
27/5/2006,Logistica 1,incompatibilidade de horário
27/5/2006,Designer 2,não se adaptou a metodologia
27/5/2006,Jogos digitais 5,falta de vale transporte
28/5/2006,Jogos digitais 3,incompatibilidade de horário
28/5/2006,Designer 3,não se adaptou a metodologia
28/5/2006,Designer 2,falta de vale transporte
29/5/2006,Análise e desenvolvimento de sistemas 1,incompatibilidade de horário
29/5/2006,Segurança da informação 4,não se adaptou a metodologia
29/5/2006,Análise e desenvolvimento de sistemas 3,falta de vale transporte
30/5/2006,Logistica 1,incompatibilidade de horário
30/5/2006,Jogos digitais 1,não se adaptou a metodologia
30/5/2006,Segurança da informação 3,falta de vale transporte
31/5/2006,Gestão comercial 3,incompatibilidade de horário
31/5/2006,Segurança da informação 1,não se adaptou a metodologia
31/5/2006,Gestão comercial 3,falta de vale transporte
1/6/2006,Jogos digitais 1,incompatibilidade de horário
1/6/2006,Gestão da Tecnologia da informação 4,não se adaptou a metodologia
1/6/2006,Jogos digitais 2,falta de vale transporte
2/6/2006,Jogos digitais 2,incompatibilidade de horário
2/6/2006,Segurança da informação 2,não se adaptou a metodologia
2/6/2006,Jogos digitais 5,falta de vale transporte
3/6/2006,Logistica 2,incompatibilidade de horário
3/6/2006,Logistica 1,não se adaptou a metodologia
3/6/2006,Gestão da Tecnologia da informação 2,falta de vale transporte
4/6/2006,Designer 1,incompatibilidade de horário
4/6/2006,Designer 4,não se adaptou a metodologia
4/6/2006,Designer 3,falta de vale transporte
5/6/2006,Gestão da Tecnologia da informação 4,distância/meio de transporte
5/6/2006,Análise e desenvolvimento de sistemas 2,outros motivos
5/6/2006,Logistica 3,incompatibilidade de horário
5/6/2006,Jogos digitais 2,não se adaptou a metodologia
5/6/2006,Gestão comercial 4,falta de vale transporte
6/6/2006,Logistica 3,distância/meio de transporte
6/6/2006,Jogos digitais 2,outros motivos
6/6/2006,Designer 2,incompatibilidade de horário
6/6/2006,Análise e desenvolvimento de sistemas 4,não se adaptou a metodologia
6/6/2006,Designer 4,falta de vale transporte
7/6/2006,Designer 2,distância/meio de transporte
7/6/2006,Logistica 3,outros motivos
7/6/2006,Jogos digitais 2,incompatibilidade de horário
7/6/2006,Designer 1,não se adaptou a metodologia
7/6/2006,Gestão da Tecnologia da informação 2,falta de vale transporte
8/6/2006,Logistica 4,distância/meio de transporte
8/6/2006,Logistica 3,outros motivos
8/6/2006,Designer 3,incompatibilidade de horário
8/6/2006,Designer 2,não se adaptou a metodologia
8/6/2006,Designer 1,falta de vale transporte
9/6/2006,Designer 3,distância/meio de transporte
9/6/2006,Designer 2,outros motivos
9/6/2006,Gestão comercial 4,incompatibilidade de horário
9/6/2006,Gestão da Tecnologia da informação 3,não se adaptou a metodologia
9/6/2006,Gestão comercial 3,falta de vale transporte
10/6/2006,Análise e desenvolvimento de sistemas 1,distância/meio de transporte
10/6/2006,Jogos digitais 4,outros motivos
10/6/2006,Designer 1,incompatibilidade de horário
10/6/2006,Jogos digitais 4,não se adaptou a metodologia
10/6/2006,Designer 4,falta de vale transporte
11/6/2006,Jogos digitais 4,distância/meio de transporte
11/6/2006,Segurança da informação 3,outros motivos
11/6/2006,Jogos digitais 5,incompatibilidade de horário
11/6/2006,Análise e desenvolvimento de sistemas 2,não se adaptou a metodologia
11/6/2006,Análise e desenvolvimento de sistemas 3,falta de vale transporte
12/6/2006,Segurança da informação 4,distância/meio de transporte
12/6/2006,Jogos digitais 5,outros motivos
12/6/2006,Logistica 4,incompatibilidade de horário
12/6/2006,Logistica 2,não se adaptou a metodologia
12/6/2006,Logistica 1,falta de vale transporte
13/6/2006,Designer 2,motivo de estudo
13/6/2006,Segurança da informação 4,distância/meio de transporte
13/6/2006,Designer 3,outros motivos
13/6/2006,Jogos digitais 5,incompatibilidade de horário
13/6/2006,Jogos digitais 1,não se adaptou a metodologia
13/6/2006,Logistica 3,falta de vale transporte
14/6/2006,Gestão da Tecnologia da informação 1,motivo de estudo
14/6/2006,Designer 3,distância/meio de transporte
14/6/2006,Análise e desenvolvimento de sistemas 1,outros motivos
14/6/2006,Jogos digitais 3,incompatibilidade de horário
14/6/2006,Jogos digitais 1,não se adaptou a metodologia
14/6/2006,Análise e desenvolvimento de sistemas 2,falta de vale transporte
15/6/2006,Jogos digitais 2,motivo de estudo
15/6/2006,Gestão comercial 2,distância/meio de transporte
15/6/2006,Análise e desenvolvimento de sistemas 1,outros motivos
15/6/2006,Logistica 4,incompatibilidade de horário
15/6/2006,Gestão da Tecnologia da informação 1,não se adaptou a metodologia
15/6/2006,Designer 1,falta de vale transporte
16/6/2006,Designer 2,motivo de estudo
16/6/2006,Gestão da Tecnologia da informação 4,distância/meio de transporte
16/6/2006,Designer 1,outros motivos
16/6/2006,Segurança da informação 3,incompatibilidade de horário
16/6/2006,Designer 3,não se adaptou a metodologia
16/6/2006,Gestão da Tecnologia da informação 4,falta de vale transporte
17/6/2006,Designer 2,motivo de estudo
17/6/2006,Análise e desenvolvimento de sistemas 1,distância/meio de transporte
17/6/2006,Jogos digitais 5,outros motivos
17/6/2006,Segurança da informação 1,incompatibilidade de horário
17/6/2006,Análise e desenvolvimento de sistemas 2,não se adaptou a metodologia
17/6/2006,Designer 1,falta de vale transporte
18/6/2006,Gestão da Tecnologia da informação 4,motivo de estudo
18/6/2006,Jogos digitais 1,distância/meio de transporte
18/6/2006,Segurança da informação 2,outros motivos
18/6/2006,Gestão da Tecnologia da informação 2,incompatibilidade de horário
18/6/2006,Logistica 4,não se adaptou a metodologia
18/6/2006,Gestão da Tecnologia da informação 4,falta de vale transporte
19/6/2006,Análise e desenvolvimento de sistemas 2,motivo de estudo
19/6/2006,Gestão da Tecnologia da informação 1,distância/meio de transporte
19/6/2006,Segurança da informação 4,outros motivos
19/6/2006,Designer 3,incompatibilidade de horário
19/6/2006,Análise e desenvolvimento de sistemas 1,não se adaptou a metodologia
19/6/2006,Gestão da Tecnologia da informação 4,falta de vale transporte
20/6/2006,Análise e desenvolvimento de sistemas 3,motivo de estudo
20/6/2006,Análise e desenvolvimento de sistemas 3,distância/meio de transporte
20/6/2006,Segurança da informação 2,outros motivos
20/6/2006,Análise e desenvolvimento de sistemas 1,incompatibilidade de horário
20/6/2006,Análise e desenvolvimento de sistemas 4,não se adaptou a metodologia
20/6/2006,Análise e desenvolvimento de sistemas 3,falta de vale transporte
21/6/2006,Jogos digitais 4,motivo de estudo
21/6/2006,Jogos digitais 2,distância/meio de transporte
21/6/2006,Jogos digitais 5,outros motivos
21/6/2006,Gestão da Tecnologia da informação 4,incompatibilidade de horário
21/6/2006,Gestão da Tecnologia da informação 4,não se adaptou a metodologia
21/6/2006,Gestão comercial 3,falta de vale transporte
22/6/2006,Jogos digitais 1,motivo de estudo
22/6/2006,Segurança da informação 3,distância/meio de transporte
22/6/2006,Gestão da Tecnologia da informação 1,outros motivos
22/6/2006,Segurança da informação 4,incompatibilidade de horário
22/6/2006,Gestão da Tecnologia da informação 3,não se adaptou a metodologia
22/6/2006,Segurança da informação 1,falta de vale transporte
23/6/2006,Jogos digitais 4,motivo de estudo
23/6/2006,Gestão comercial 2,distância/meio de transporte
23/6/2006,Segurança da informação 2,outros motivos
23/6/2006,Gestão comercial 2,incompatibilidade de horário
23/6/2006,Jogos digitais 2,não se adaptou a metodologia
23/6/2006,Segurança da informação 4,falta de vale transporte
24/6/2006,Jogos digitais 5,motivo de estudo
24/6/2006,Jogos digitais 5,distância/meio de transporte
24/6/2006,Análise e desenvolvimento de sistemas 4,outros motivos
24/6/2006,Gestão da Tecnologia da informação 3,incompatibilidade de horário
24/6/2006,Análise e desenvolvimento de sistemas 1,não se adaptou a metodologia
24/6/2006,Jogos digitais 2,falta de vale transporte
25/6/2006,Segurança da informação 4,motivo de estudo
25/6/2006,Logistica 1,distância/meio de transporte
25/6/2006,Designer 2,outros motivos
25/6/2006,Logistica 2,incompatibilidade de horário
25/6/2006,Análise e desenvolvimento de sistemas 1,não se adaptou a metodologia
25/6/2006,Jogos digitais 1,falta de vale transporte
26/6/2006,Designer 4,motivo de estudo
26/6/2006,Segurança da informação 1,distância/meio de transporte
26/6/2006,Gestão da Tecnologia da informação 3,outros motivos
26/6/2006,Gestão da Tecnologia da informação 4,incompatibilidade de horário
26/6/2006,Designer 2,não se adaptou a metodologia
26/6/2006,Análise e desenvolvimento de sistemas 2,falta de vale transporte
27/6/2006,Segurança da informação 2,motivo de estudo
27/6/2006,Gestão da Tecnologia da informação 3,distância/meio de transporte
27/6/2006,Segurança da informação 1,outros motivos
27/6/2006,Logistica 2,incompatibilidade de horário
27/6/2006,Designer 3,não se adaptou a metodologia
27/6/2006,Gestão da Tecnologia da informação 1,falta de vale transporte
28/6/2006,Jogos digitais 2,motivo de estudo
28/6/2006,Jogos digitais 3,distância/meio de transporte
28/6/2006,Jogos digitais 2,outros motivos
28/6/2006,Gestão comercial 2,incompatibilidade de horário
28/6/2006,Designer 4,não se adaptou a metodologia
28/6/2006,Análise e desenvolvimento de sistemas 2,falta de vale transporte
29/6/2006,Segurança da informação 3,motivo de estudo
29/6/2006,Segurança da informação 3,distância/meio de transporte
29/6/2006,Logistica 4,outros motivos
29/6/2006,Análise e desenvolvimento de sistemas 2,incompatibilidade de horário
29/6/2006,Jogos digitais 5,não se adaptou a metodologia
29/6/2006,Segurança da informação 4,falta de vale transporte
30/6/2006,Gestão da Tecnologia da informação 2,motivo de estudo
30/6/2006,Segurança da informação 1,distância/meio de transporte
30/6/2006,Segurança da informação 2,outros motivos
30/6/2006,Jogos digitais 3,incompatibilidade de horário
30/6/2006,Gestão da Tecnologia da informação 1,não se adaptou a metodologia
30/6/2006,Segurança da informação 2,falta de vale transporte
1/7/2006,Análise e desenvolvimento de sistemas 1,motivo de estudo
1/7/2006,Gestão comercial 1,distância/meio de transporte
1/7/2006,Análise e desenvolvimento de sistemas 1,outros motivos
1/7/2006,Gestão comercial 2,incompatibilidade de horário
1/7/2006,Gestão comercial 4,não se adaptou a metodologia
1/7/2006,Análise e desenvolvimento de sistemas 1,falta de vale transporte
2/7/2006,Análise e desenvolvimento de sistemas 1,motivo de estudo
2/7/2006,Jogos digitais 4,distância/meio de transporte
2/7/2006,Análise e desenvolvimento de sistemas 3,outros motivos
2/7/2006,Logistica 3,incompatibilidade de horário
2/7/2006,Gestão comercial 3,não se adaptou a metodologia
2/7/2006,Jogos digitais 4,falta de vale transporte
3/7/2006,Logistica 3,motivo de estudo
3/7/2006,Gestão da Tecnologia da informação 2,distância/meio de transporte
3/7/2006,Jogos digitais 1,outros motivos
3/7/2006,Jogos digitais 3,incompatibilidade de horário
3/7/2006,Jogos digitais 1,não se adaptou a metodologia
3/7/2006,Gestão da Tecnologia da informação 1,falta de vale transporte
4/7/2006,Logistica 2,motivo de estudo
4/7/2006,Gestão comercial 3,distância/meio de transporte
4/7/2006,Gestão comercial 4,outros motivos
4/7/2006,Designer 2,incompatibilidade de horário
4/7/2006,Logistica 2,não se adaptou a metodologia
4/7/2006,Análise e desenvolvimento de sistemas 3,falta de vale transporte
5/7/2006,Designer 4,motivo de estudo
5/7/2006,Jogos digitais 3,distância/meio de transporte
5/7/2006,Designer 3,outros motivos
5/7/2006,Gestão comercial 2,incompatibilidade de horário
5/7/2006,Gestão comercial 3,não se adaptou a metodologia
5/7/2006,Logistica 3,falta de vale transporte
6/7/2006,Gestão da Tecnologia da informação 4,motivo de estudo
6/7/2006,Gestão comercial 1,distância/meio de transporte
6/7/2006,Segurança da informação 3,outros motivos
6/7/2006,Jogos digitais 1,incompatibilidade de horário
6/7/2006,Jogos digitais 2,não se adaptou a metodologia
6/7/2006,Gestão comercial 1,falta de vale transporte
7/7/2006,Designer 4,motivo de estudo
7/7/2006,Jogos digitais 4,distância/meio de transporte
7/7/2006,Gestão comercial 4,outros motivos
7/7/2006,Gestão da Tecnologia da informação 2,incompatibilidade de horário
7/7/2006,Jogos digitais 2,não se adaptou a metodologia
7/7/2006,Jogos digitais 4,falta de vale transporte
8/7/2006,Gestão da Tecnologia da informação 4,motivo de estudo
8/7/2006,Segurança da informação 2,distância/meio de transporte
8/7/2006,Segurança da informação 2,outros motivos
8/7/2006,Análise e desenvolvimento de sistemas 1,incompatibilidade de horário
8/7/2006,Segurança da informação 3,não se adaptou a metodologia
8/7/2006,Designer 3,falta de vale transporte
9/7/2006,Análise e desenvolvimento de sistemas 2,motivo de estudo
9/7/2006,Gestão da Tecnologia da informação 3,distância/meio de transporte
9/7/2006,Gestão da Tecnologia da informação 2,outros motivos
9/7/2006,Análise e desenvolvimento de sistemas 3,incompatibilidade de horário
9/7/2006,Segurança da informação 3,não se adaptou a metodologia
9/7/2006,Segurança da informação 3,falta de vale transporte
10/7/2006,Gestão da Tecnologia da informação 1,motivo de estudo
10/7/2006,Jogos digitais 4,distância/meio de transporte
10/7/2006,Gestão da Tecnologia da informação 3,outros motivos
10/7/2006,Jogos digitais 2,incompatibilidade de horário
10/7/2006,Logistica 1,não se adaptou a metodologia
10/7/2006,Designer 4,falta de vale transporte
11/7/2006,Segurança da informação 1,motivo de estudo
11/7/2006,Segurança da informação 2,distância/meio de transporte
11/7/2006,Jogos digitais 2,outros motivos
11/7/2006,Gestão comercial 1,incompatibilidade de horário
11/7/2006,Designer 1,não se adaptou a metodologia
11/7/2006,Designer 3,falta de vale transporte
12/7/2006,Gestão comercial 3,motivo de estudo
12/7/2006,Jogos digitais 5,distância/meio de transporte
12/7/2006,Gestão da Tecnologia da informação 3,outros motivos
12/7/2006,Gestão da Tecnologia da informação 2,incompatibilidade de horário
12/7/2006,Segurança da informação 4,não se adaptou a metodologia
12/7/2006,Jogos digitais 3,falta de vale transporte
13/7/2006,Logistica 4,motivo de estudo
13/7/2006,Gestão comercial 1,distância/meio de transporte
13/7/2006,Jogos digitais 1,outros motivos
13/7/2006,Análise e desenvolvimento de sistemas 2,incompatibilidade de horário
13/7/2006,Logistica 2,não se adaptou a metodologia
13/7/2006,Jogos digitais 3,falta de vale transporte
14/7/2006,Gestão da Tecnologia da informação 4,motivo de estudo
14/7/2006,Designer 2,distância/meio de transporte
14/7/2006,Gestão da Tecnologia da informação 4,outros motivos
14/7/2006,Jogos digitais 4,incompatibilidade de horário
14/7/2006,Logistica 2,não se adaptou a metodologia
14/7/2006,Gestão comercial 4,falta de vale transporte
15/7/2006,Logistica 1,motivo de estudo
15/7/2006,Gestão comercial 2,distância/meio de transporte
15/7/2006,Logistica 3,outros motivos
15/7/2006,Segurança da informação 2,incompatibilidade de horário
15/7/2006,Gestão da Tecnologia da informação 2,não se adaptou a metodologia
15/7/2006,Gestão da Tecnologia da informação 1,falta de vale transporte
16/7/2006,Logistica 1,motivo de estudo
16/7/2006,Logistica 3,distância/meio de transporte
16/7/2006,Gestão da Tecnologia da informação 4,outros motivos
16/7/2006,Jogos digitais 4,incompatibilidade de horário
16/7/2006,Logistica 4,não se adaptou a metodologia
16/7/2006,Análise e desenvolvimento de sistemas 2,falta de vale transporte
17/7/2006,Logistica 2,motivo de estudo
17/7/2006,Gestão da Tecnologia da informação 3,distância/meio de transporte
17/7/2006,Segurança da informação 1,outros motivos
17/7/2006,Designer 2,incompatibilidade de horário
17/7/2006,Jogos digitais 3,não se adaptou a metodologia
17/7/2006,Jogos digitais 4,falta de vale transporte
18/7/2006,Gestão comercial 3,motivo de estudo
18/7/2006,Segurança da informação 4,distância/meio de transporte
18/7/2006,Análise e desenvolvimento de sistemas 1,outros motivos
18/7/2006,Segurança da informação 1,incompatibilidade de horário
18/7/2006,Análise e desenvolvimento de sistemas 1,não se adaptou a metodologia
18/7/2006,Segurança da informação 1,falta de vale transporte
19/7/2006,Segurança da informação 4,motivo de estudo
19/7/2006,Análise e desenvolvimento de sistemas 3,distância/meio de transporte
19/7/2006,Análise e desenvolvimento de sistemas 2,outros motivos
19/7/2006,Jogos digitais 3,incompatibilidade de horário
19/7/2006,Gestão comercial 1,não se adaptou a metodologia
19/7/2006,Logistica 1,falta de vale transporte
20/7/2006,Logistica 1,motivo de estudo
20/7/2006,Logistica 4,distância/meio de transporte
20/7/2006,Designer 1,outros motivos
20/7/2006,Jogos digitais 4,incompatibilidade de horário
20/7/2006,Gestão comercial 3,não se adaptou a metodologia
20/7/2006,Jogos digitais 2,falta de vale transporte
21/7/2006,Jogos digitais 1,motivo de estudo
21/7/2006,Designer 4,distância/meio de transporte
21/7/2006,Designer 1,outros motivos
21/7/2006,Designer 3,incompatibilidade de horário
21/7/2006,Gestão da Tecnologia da informação 3,não se adaptou a metodologia
21/7/2006,Gestão da Tecnologia da informação 3,falta de vale transporte
22/7/2006,Jogos digitais 1,motivo de estudo
22/7/2006,Análise e desenvolvimento de sistemas 2,distância/meio de transporte
22/7/2006,Jogos digitais 4,outros motivos
22/7/2006,Gestão da Tecnologia da informação 3,incompatibilidade de horário
22/7/2006,Segurança da informação 1,não se adaptou a metodologia
22/7/2006,Jogos digitais 2,falta de vale transporte
23/7/2006,Designer 3,motivo de estudo
23/7/2006,Jogos digitais 5,distância/meio de transporte
23/7/2006,Jogos digitais 3,outros motivos
23/7/2006,Análise e desenvolvimento de sistemas 2,incompatibilidade de horário
23/7/2006,Logistica 3,não se adaptou a metodologia
23/7/2006,Análise e desenvolvimento de sistemas 2,falta de vale transporte
24/7/2006,Gestão da Tecnologia da informação 1,motivo de estudo
24/7/2006,Análise e desenvolvimento de sistemas 4,distância/meio de transporte
24/7/2006,Jogos digitais 3,outros motivos
24/7/2006,Jogos digitais 1,incompatibilidade de horário
24/7/2006,Gestão da Tecnologia da informação 1,não se adaptou a metodologia
24/7/2006,Logistica 2,falta de vale transporte
25/7/2006,Jogos digitais 2,motivo de estudo
25/7/2006,Logistica 3,distância/meio de transporte
25/7/2006,Segurança da informação 3,outros motivos
25/7/2006,Gestão da Tecnologia da informação 1,incompatibilidade de horário
25/7/2006,Designer 3,não se adaptou a metodologia
25/7/2006,Gestão comercial 4,falta de vale transporte
26/7/2006,Gestão comercial 3,motivo de estudo
26/7/2006,Análise e desenvolvimento de sistemas 2,distância/meio de transporte
26/7/2006,Análise e desenvolvimento de sistemas 2,outros motivos
26/7/2006,Logistica 3,incompatibilidade de horário
26/7/2006,Gestão da Tecnologia da informação 2,não se adaptou a metodologia
26/7/2006,Designer 1,falta de vale transporte
27/7/2006,Designer 3,motivo de estudo
27/7/2006,Análise e desenvolvimento de sistemas 1,distância/meio de transporte
27/7/2006,Logistica 2,outros motivos
27/7/2006,Jogos digitais 5,incompatibilidade de horário
27/7/2006,Logistica 4,não se adaptou a metodologia
27/7/2006,Jogos digitais 4,falta de vale transporte
28/7/2006,Gestão da Tecnologia da informação 3,motivo de estudo
28/7/2006,Segurança da informação 2,distância/meio de transporte
28/7/2006,Logistica 1,outros motivos
28/7/2006,Jogos digitais 5,incompatibilidade de horário
28/7/2006,Gestão comercial 3,não se adaptou a metodologia
28/7/2006,Análise e desenvolvimento de sistemas 3,falta de vale transporte
29/7/2006,Logistica 1,motivo de estudo
29/7/2006,Logistica 3,distância/meio de transporte
29/7/2006,Segurança da informação 4,outros motivos
29/7/2006,Gestão da Tecnologia da informação 2,incompatibilidade de horário
29/7/2006,Segurança da informação 3,não se adaptou a metodologia
29/7/2006,Logistica 1,falta de vale transporte
30/7/2006,Designer 3,motivo de estudo
